,PROD_CD,SLSMAN_CD,PLAN_MONTH,PLAN_YEAR,TARGET_IN_EA,ACH_IN_EA
24338,PROD_27,SLSMAN_186,11,2019,72,61
14245,PROD_68,SLSMAN_107,12,2019,0,1
18330,PROD_16,SLSMAN_138,12,2019,"4,248","2,872"
10297,PROD_58,SLSMAN_81,10,2019,"6,720","9,552"
21489,PROD_61,SLSMAN_164,11,2019,"2,688","1,649"
13698,PROD_35,SLSMAN_104,10,2019,"13,056","16,857"
9202,PROD_61,SLSMAN_68,11,2019,"2,772","1,448"
25534,PROD_39,SLSMAN_195,1,2020,540,0
9360,PROD_47,SLSMAN_70,12,2019,"2,400","1,685"
17903,PROD_42,SLSMAN_133,11,2019,0,12
26919,PROD_21,SLSMAN_210,12,2019,36,0
7372,PROD_39,SLSMAN_52,12,2019,144,166
9133,PROD_27,SLSMAN_68,11,2019,36,62
18308,PROD_11,SLSMAN_138,10,2019,756,718
10366,PROD_23,SLSMAN_82,12,2019,180,137
27879,PROD_58,SLSMAN_216,11,2019,"5,208","6,277"
18078,PROD_82,SLSMAN_134,11,2019,0,"1,222"
8504,PROD_14,SLSMAN_62,10,2019,"11,052","13,936"
17812,PROD_42,SLSMAN_132,12,2019,108,129
12039,PROD_74,SLSMAN_93,10,2019,0,"2,207"
3850,PROD_20,SLSMAN_28,11,2019,0,3
14145,PROD_19,SLSMAN_107,11,2019,"1,680","1,015"
4314,PROD_80,SLSMAN_31,1,2020,504,0
2144,PROD_50,SLSMAN_14,11,2019,"36,144","30,180"
8751,PROD_22,SLSMAN_64,1,2020,"8,400",0
7338,PROD_27,SLSMAN_52,1,2020,72,0
6585,PROD_3,SLSMAN_47,1,2020,240,0
12343,PROD_5,SLSMAN_96,1,2020,160,0
7420,PROD_61,SLSMAN_52,12,2019,"9,996","2,450"
12721,PROD_36,SLSMAN_98,11,2019,48,32
15898,PROD_59,SLSMAN_119,12,2019,"1,092",327
17920,PROD_61,SLSMAN_133,11,2019,0,225
21093,PROD_16,SLSMAN_162,10,2019,0,165
24088,PROD_58,SLSMAN_184,11,2019,"24,024","24,400"
24974,PROD_61,SLSMAN_191,10,2019,"7,224","7,683"
21786,PROD_54,SLSMAN_166,1,2020,12,0
145,PROD_80,SLSMAN_1,11,2019,"1,080",682
25968,PROD_45,SLSMAN_198,12,2019,"1,056","1,356"
21799,PROD_58,SLSMAN_166,12,2019,"47,712","48,224"
9307,PROD_26,SLSMAN_70,12,2019,252,128
460,PROD_5,SLSMAN_4,10,2019,160,175
2077,PROD_22,SLSMAN_14,11,2019,"33,600","23,110"
4841,PROD_31,SLSMAN_35,1,2020,"13,600",0
12970,PROD_3,SLSMAN_100,11,2019,40,0
18241,PROD_61,SLSMAN_136,11,2019,"3,570","2,194"
28047,PROD_81,SLSMAN_217,11,2019,0,171
17775,PROD_27,SLSMAN_132,11,2019,252,248
17433,PROD_16,SLSMAN_130,10,2019,0,"2,459"
25692,PROD_47,SLSMAN_196,11,2019,"1,584","1,327"
15582,PROD_14,SLSMAN_117,12,2019,"35,928","39,832"
8790,PROD_36,SLSMAN_64,12,2019,24,4
17757,PROD_22,SLSMAN_132,1,2020,"11,200",0
16386,PROD_47,SLSMAN_123,11,2019,"2,400","2,906"
24593,PROD_76,SLSMAN_188,10,2019,0,343
5943,PROD_11,SLSMAN_43,11,2019,360,271
26805,PROD_43,SLSMAN_209,1,2020,"5,796",0
10631,PROD_15,SLSMAN_84,10,2019,"4,176","3,784"
9825,PROD_80,SLSMAN_75,11,2019,0,126
23700,PROD_35,SLSMAN_182,10,2019,"13,440","17,460"
6733,PROD_82,SLSMAN_47,11,2019,0,"6,239"
21805,PROD_61,SLSMAN_166,11,2019,"5,964","4,047"
15907,PROD_67,SLSMAN_119,10,2019,0,319
22583,PROD_80,SLSMAN_172,12,2019,456,385
5093,PROD_22,SLSMAN_37,12,2019,"2,400",0
1871,PROD_62,SLSMAN_12,12,2019,0,129
6267,PROD_5,SLSMAN_45,12,2019,160,69
4583,PROD_39,SLSMAN_33,12,2019,180,137
9969,PROD_42,SLSMAN_79,12,2019,72,98
5168,PROD_61,SLSMAN_37,12,2019,"6,174",0
24019,PROD_28,SLSMAN_184,11,2019,6,6
13269,PROD_81,SLSMAN_101,10,2019,0,12
19884,PROD_81,SLSMAN_150,12,2019,192,0
19616,PROD_28,SLSMAN_148,10,2019,0,39
21221,PROD_2,SLSMAN_163,11,2019,0,51
24459,PROD_19,SLSMAN_187,11,2019,0,672
18769,PROD_61,SLSMAN_140,11,2019,"3,864","1,656"
12869,PROD_28,SLSMAN_99,1,2020,36,0
27075,PROD_17,SLSMAN_211,10,2019,"25,632","29,047"
9183,PROD_50,SLSMAN_68,11,2019,"15,552","18,543"
8469,PROD_80,SLSMAN_61,11,2019,0,30
20198,PROD_51,SLSMAN_154,12,2019,0,"2,047"
13475,PROD_19,SLSMAN_103,1,2020,"7,224",0
25067,PROD_33,SLSMAN_192,10,2019,"4,968","4,248"
5841,PROD_25,SLSMAN_42,1,2020,360,0
19338,PROD_83,SLSMAN_144,12,2019,0,"1,335"
2480,PROD_76,SLSMAN_16,10,2019,0,180
2672,PROD_5,SLSMAN_18,10,2019,240,246
7740,PROD_59,SLSMAN_54,11,2019,588,598
3664,PROD_86,SLSMAN_26,12,2019,0,49
2829,PROD_5,SLSMAN_19,12,2019,320,349
3021,PROD_25,SLSMAN_20,11,2019,0,35
11011,PROD_51,SLSMAN_86,11,2019,0,916
17796,PROD_36,SLSMAN_132,12,2019,24,25
7780,PROD_13,SLSMAN_56,11,2019,288,215
1322,PROD_32,SLSMAN_9,10,2019,"3,312","2,301"
4665,PROD_15,SLSMAN_34,10,2019,"4,272","3,234"
2032,PROD_80,SLSMAN_13,10,2019,"1,320",807
18272,PROD_25,SLSMAN_137,11,2019,0,4
5759,PROD_56,SLSMAN_41,12,2019,36,0
14985,PROD_42,SLSMAN_112,12,2019,144,165
9543,PROD_43,SLSMAN_73,1,2020,"11,052",0
4879,PROD_47,SLSMAN_35,1,2020,"2,016",0
25937,PROD_27,SLSMAN_198,11,2019,72,104
15813,PROD_19,SLSMAN_119,10,2019,"13,272","8,045"
990,PROD_32,SLSMAN_7,10,2019,"2,196","1,924"
5081,PROD_17,SLSMAN_37,12,2019,"58,572",0
6415,PROD_80,SLSMAN_45,11,2019,384,393
13226,PROD_47,SLSMAN_101,10,2019,888,"1,240"
3070,PROD_13,SLSMAN_21,10,2019,"3,528","3,297"
26941,PROD_32,SLSMAN_210,10,2019,"1,512","1,934"
23482,PROD_17,SLSMAN_181,11,2019,"8,892","3,015"
20942,PROD_18,SLSMAN_161,1,2020,"1,416",0
23637,PROD_13,SLSMAN_182,11,2019,"3,744","3,232"
12018,PROD_56,SLSMAN_93,11,2019,108,8
23472,PROD_14,SLSMAN_181,12,2019,"22,968","20,974"
22916,PROD_39,SLSMAN_175,11,2019,0,9
7864,PROD_48,SLSMAN_56,12,2019,24,0
23282,PROD_3,SLSMAN_180,10,2019,80,0
25248,PROD_42,SLSMAN_193,10,2019,144,141
2629,PROD_58,SLSMAN_17,11,2019,"20,664","22,083"
9308,PROD_27,SLSMAN_70,1,2020,180,0
14791,PROD_27,SLSMAN_111,10,2019,108,70
26722,PROD_13,SLSMAN_209,12,2019,"2,088","2,254"
21715,PROD_21,SLSMAN_166,12,2019,12,0
12958,PROD_81,SLSMAN_99,12,2019,120,72
141,PROD_76,SLSMAN_1,10,2019,0,"3,456"
24699,PROD_14,SLSMAN_190,10,2019,"33,228","44,555"
9677,PROD_52,SLSMAN_74,12,2019,400,0
10673,PROD_31,SLSMAN_84,12,2019,"1,600","2,940"
17690,PROD_58,SLSMAN_131,10,2019,"8,232","10,855"
27794,PROD_16,SLSMAN_216,1,2020,144,0
18832,PROD_43,SLSMAN_141,11,2019,0,10
668,PROD_33,SLSMAN_5,1,2020,360,0
19544,PROD_58,SLSMAN_147,11,2019,0,126
3479,PROD_14,SLSMAN_25,1,2020,"31,788",0
11641,PROD_16,SLSMAN_91,1,2020,"2,520",0
1904,PROD_13,SLSMAN_13,11,2019,"4,680","4,290"
11269,PROD_33,SLSMAN_88,10,2019,72,0
2518,PROD_14,SLSMAN_17,1,2020,"39,240",0
5104,PROD_26,SLSMAN_37,11,2019,60,64
13024,PROD_27,SLSMAN_100,1,2020,108,0
10049,PROD_14,SLSMAN_80,11,2019,"30,924","29,388"
16610,PROD_13,SLSMAN_125,10,2019,"6,660","6,673"
8557,PROD_31,SLSMAN_62,11,2019,800,"1,620"
3972,PROD_37,SLSMAN_29,1,2020,108,0
1092,PROD_5,SLSMAN_8,12,2019,240,286
2846,PROD_14,SLSMAN_19,1,2020,"26,676",0
26093,PROD_61,SLSMAN_200,1,2020,"3,870",0
2285,PROD_43,SLSMAN_15,12,2019,"5,364","5,169"
15223,PROD_14,SLSMAN_114,10,2019,"29,664","31,131"
330,PROD_17,SLSMAN_3,11,2019,"23,868","5,821"
7355,PROD_35,SLSMAN_52,11,2019,"6,048","5,649"
23868,PROD_35,SLSMAN_183,11,2019,"13,632","14,844"
3056,PROD_3,SLSMAN_21,12,2019,80,0
14731,PROD_84,SLSMAN_110,12,2019,0,36
1087,PROD_3,SLSMAN_8,11,2019,40,26
20533,PROD_37,SLSMAN_158,1,2020,144,0
2429,PROD_42,SLSMAN_16,1,2020,180,0
25758,PROD_14,SLSMAN_197,12,2019,972,"1,276"
17527,PROD_56,SLSMAN_130,10,2019,144,120
322,PROD_15,SLSMAN_3,11,2019,"14,532","12,754"
18184,PROD_36,SLSMAN_136,10,2019,24,27
3176,PROD_50,SLSMAN_21,12,2019,"30,048","32,791"
13054,PROD_37,SLSMAN_100,12,2019,72,100
26226,PROD_10,SLSMAN_204,10,2019,0,37
17010,PROD_38,SLSMAN_127,12,2019,144,186
14974,PROD_38,SLSMAN_112,1,2020,180,0
2035,PROD_81,SLSMAN_13,1,2020,240,0
10824,PROD_32,SLSMAN_85,12,2019,12,0
3800,PROD_59,SLSMAN_27,10,2019,504,234
15622,PROD_26,SLSMAN_117,12,2019,180,102
14697,PROD_56,SLSMAN_110,11,2019,252,408
4212,PROD_19,SLSMAN_31,10,2019,"1,680","2,044"
12168,PROD_61,SLSMAN_94,10,2019,"6,384","29,931"
17373,PROD_59,SLSMAN_129,11,2019,"1,092",791
12220,PROD_16,SLSMAN_95,12,2019,"7,236",818
17856,PROD_69,SLSMAN_132,10,2019,0,48
11668,PROD_26,SLSMAN_91,12,2019,24,12
22978,PROD_26,SLSMAN_176,12,2019,348,46
8915,PROD_17,SLSMAN_66,11,2019,"10,548","2,142"
18637,PROD_84,SLSMAN_139,12,2019,0,45
9069,PROD_81,SLSMAN_67,11,2019,0,6
11858,PROD_47,SLSMAN_92,11,2019,"4,104","2,936"
4714,PROD_35,SLSMAN_34,11,2019,672,"4,483"
3751,PROD_35,SLSMAN_27,12,2019,"17,184","15,564"
27245,PROD_23,SLSMAN_212,10,2019,108,53
9209,PROD_76,SLSMAN_68,10,2019,0,220
7630,PROD_15,SLSMAN_54,12,2019,"2,580","1,944"
6447,PROD_14,SLSMAN_46,11,2019,"10,872","12,313"
11907,PROD_3,SLSMAN_93,12,2019,40,0
86,PROD_37,SLSMAN_1,10,2019,288,235
11024,PROD_59,SLSMAN_86,12,2019,"2,394","2,922"
9304,PROD_26,SLSMAN_70,1,2020,312,0
22788,PROD_19,SLSMAN_174,12,2019,168,102
1089,PROD_5,SLSMAN_8,1,2020,320,0
8859,PROD_83,SLSMAN_64,11,2019,0,171
18720,PROD_37,SLSMAN_140,12,2019,144,133
16095,PROD_58,SLSMAN_121,11,2019,"12,264","13,284"
5842,PROD_25,SLSMAN_42,10,2019,396,389
15197,PROD_82,SLSMAN_113,11,2019,0,"1,762"
17802,PROD_38,SLSMAN_132,10,2019,216,188
300,PROD_5,SLSMAN_3,1,2020,80,0
4664,PROD_15,SLSMAN_34,1,2020,"3,372",0
5428,PROD_38,SLSMAN_39,12,2019,216,151
16145,PROD_14,SLSMAN_122,10,2019,"16,272","20,443"
1270,PROD_14,SLSMAN_9,11,2019,"17,208","15,842"
13483,PROD_21,SLSMAN_103,1,2020,96,0
7074,PROD_3,SLSMAN_50,11,2019,40,0
15954,PROD_43,SLSMAN_120,12,2019,0,451
15811,PROD_18,SLSMAN_119,12,2019,"2,400",0
25273,PROD_58,SLSMAN_193,12,2019,"4,872","4,851"
13043,PROD_33,SLSMAN_100,12,2019,756,580
22836,PROD_39,SLSMAN_174,1,2020,468,0
10153,PROD_59,SLSMAN_80,12,2019,630,653
11692,PROD_39,SLSMAN_91,12,2019,"2,016","1,415"
3314,PROD_31,SLSMAN_23,1,2020,800,0
12382,PROD_19,SLSMAN_96,11,2019,"5,544","9,115"
16107,PROD_62,SLSMAN_121,11,2019,"8,442","5,235"
2761,PROD_43,SLSMAN_18,12,2019,"6,984","7,270"
16638,PROD_20,SLSMAN_125,10,2019,312,274
16368,PROD_38,SLSMAN_123,11,2019,396,391
9740,PROD_19,SLSMAN_75,11,2019,0,"3,099"
17696,PROD_59,SLSMAN_131,12,2019,"1,638","1,389"
24731,PROD_23,SLSMAN_190,11,2019,108,121
4725,PROD_38,SLSMAN_34,10,2019,216,196
960,PROD_20,SLSMAN_7,1,2020,48,0
4839,PROD_27,SLSMAN_35,11,2019,180,193
26480,PROD_42,SLSMAN_206,11,2019,72,98
26152,PROD_3,SLSMAN_202,1,2020,480,0
7779,PROD_13,SLSMAN_56,10,2019,288,199
27962,PROD_27,SLSMAN_217,12,2019,108,34
26100,PROD_70,SLSMAN_200,11,2019,0,36
22478,PROD_19,SLSMAN_172,11,2019,"3,360","4,394"
9686,PROD_59,SLSMAN_74,1,2020,756,0
22345,PROD_27,SLSMAN_171,1,2020,72,0
14905,PROD_13,SLSMAN_112,12,2019,"2,772","2,152"
680,PROD_37,SLSMAN_5,1,2020,144,0
14864,PROD_61,SLSMAN_111,11,2019,"2,772",986
21823,PROD_82,SLSMAN_166,1,2020,"5,838",0
16919,PROD_5,SLSMAN_127,1,2020,320,0
3408,PROD_85,SLSMAN_23,12,2019,0,108
1823,PROD_39,SLSMAN_12,12,2019,396,524
4329,PROD_4,SLSMAN_32,10,2019,40,0
14246,PROD_69,SLSMAN_107,11,2019,0,24
3920,PROD_15,SLSMAN_29,11,2019,"1,740","1,686"
16603,PROD_10,SLSMAN_125,11,2019,0,52
19865,PROD_61,SLSMAN_150,1,2020,"2,562",0
11060,PROD_10,SLSMAN_87,10,2019,0,21
10424,PROD_51,SLSMAN_82,1,2020,"3,120",0
13493,PROD_23,SLSMAN_103,11,2019,108,139
23017,PROD_45,SLSMAN_176,1,2020,240,0
27764,PROD_80,SLSMAN_215,10,2019,384,502
22669,PROD_35,SLSMAN_173,10,2019,"8,544","12,271"
25006,PROD_11,SLSMAN_192,11,2019,72,174
21558,PROD_25,SLSMAN_165,10,2019,288,240
19922,PROD_11,SLSMAN_152,11,2019,468,311
27743,PROD_58,SLSMAN_215,1,2020,"4,200",0
22501,PROD_27,SLSMAN_172,10,2019,180,105
1168,PROD_37,SLSMAN_8,12,2019,72,60
21172,PROD_45,SLSMAN_162,12,2019,0,15
6370,PROD_42,SLSMAN_45,11,2019,36,15
27664,PROD_18,SLSMAN_215,11,2019,384,239
21384,PROD_13,SLSMAN_164,10,2019,"19,692","23,707"
25654,PROD_26,SLSMAN_196,11,2019,912,281
13592,PROD_73,SLSMAN_103,10,2019,0,2
972,PROD_23,SLSMAN_7,1,2020,72,0
7316,PROD_18,SLSMAN_52,11,2019,"1,896",447
23638,PROD_13,SLSMAN_182,12,2019,"4,248","3,817"
19437,PROD_32,SLSMAN_146,10,2019,"2,436","3,017"
11315,PROD_58,SLSMAN_88,10,2019,"7,728","5,994"
9947,PROD_35,SLSMAN_79,10,2019,"6,336","11,823"
6010,PROD_33,SLSMAN_43,12,2019,"1,260",936
15695,PROD_61,SLSMAN_117,12,2019,"4,578",0
25709,PROD_61,SLSMAN_196,10,2019,"6,300","3,632"
10160,PROD_80,SLSMAN_80,10,2019,696,764
2749,PROD_38,SLSMAN_18,11,2019,108,109
10104,PROD_37,SLSMAN_80,10,2019,144,172
27186,PROD_74,SLSMAN_211,11,2019,0,0
4055,PROD_14,SLSMAN_30,11,2019,"26,820","11,165"
4265,PROD_42,SLSMAN_31,1,2020,144,0
5967,PROD_17,SLSMAN_43,12,2019,"20,628",0
27464,PROD_59,SLSMAN_213,11,2019,546,542
11376,PROD_16,SLSMAN_89,11,2019,"22,464","6,703"
19323,PROD_62,SLSMAN_144,11,2019,"2,772",863
21781,PROD_51,SLSMAN_166,12,2019,"4,836","5,091"
15828,PROD_26,SLSMAN_119,1,2020,216,0
12356,PROD_11,SLSMAN_96,12,2019,72,87
5230,PROD_19,SLSMAN_38,11,2019,"13,104","14,826"
22968,PROD_23,SLSMAN_176,10,2019,72,128
19395,PROD_17,SLSMAN_146,10,2019,"9,216","10,827"
22255,PROD_58,SLSMAN_170,12,2019,"11,760","11,989"
24499,PROD_55,SLSMAN_187,12,2019,0,100
8706,PROD_3,SLSMAN_64,11,2019,80,0
17863,PROD_80,SLSMAN_132,11,2019,888,530
1724,PROD_83,SLSMAN_11,12,2019,"3,192","3,240"
22732,PROD_80,SLSMAN_173,1,2020,528,0
1040,PROD_52,SLSMAN_7,10,2019,400,0
1905,PROD_13,SLSMAN_13,12,2019,"5,616","4,719"
12565,PROD_35,SLSMAN_97,1,2020,"1,440",0
4749,PROD_50,SLSMAN_34,10,2019,"35,328","17,469"
4860,PROD_37,SLSMAN_35,12,2019,36,18
801,PROD_22,SLSMAN_6,11,2019,"7,200","6,904"
5410,PROD_33,SLSMAN_39,10,2019,252,180
7361,PROD_37,SLSMAN_52,1,2020,72,0
23075,PROD_18,SLSMAN_177,11,2019,0,23
6515,PROD_36,SLSMAN_46,11,2019,24,7
569,PROD_56,SLSMAN_4,12,2019,"1,188",343
17743,PROD_15,SLSMAN_132,12,2019,"10,992","10,547"
11313,PROD_56,SLSMAN_88,10,2019,36,0
2709,PROD_22,SLSMAN_18,12,2019,"2,000",700
11838,PROD_38,SLSMAN_92,1,2020,468,0
25354,PROD_23,SLSMAN_194,10,2019,144,140
6719,PROD_62,SLSMAN_47,1,2020,"13,902",0
21599,PROD_43,SLSMAN_165,12,2019,"19,080","16,225"
14078,PROD_59,SLSMAN_106,1,2020,210,0
12743,PROD_45,SLSMAN_98,11,2019,528,375
27443,PROD_47,SLSMAN_213,10,2019,"1,680","1,290"
25647,PROD_23,SLSMAN_196,12,2019,72,80
12845,PROD_21,SLSMAN_99,1,2020,168,0
24677,PROD_3,SLSMAN_190,10,2019,280,0
20581,PROD_61,SLSMAN_158,11,2019,"2,478",968
11446,PROD_47,SLSMAN_89,11,2019,"2,592","2,353"
18063,PROD_62,SLSMAN_134,11,2019,"3,234","1,265"
26865,PROD_83,SLSMAN_209,11,2019,0,"1,441"
7255,PROD_61,SLSMAN_51,11,2019,"15,540","8,830"
7787,PROD_15,SLSMAN_56,10,2019,300,200
16730,PROD_59,SLSMAN_125,12,2019,756,964
18783,PROD_81,SLSMAN_140,12,2019,576,"1,146"
4466,PROD_61,SLSMAN_32,12,2019,"7,728",0
7967,PROD_27,SLSMAN_57,12,2019,72,63
2445,PROD_50,SLSMAN_16,10,2019,"33,600","17,620"
6310,PROD_20,SLSMAN_45,11,2019,96,66
24777,PROD_42,SLSMAN_190,1,2020,288,0
17909,PROD_47,SLSMAN_133,11,2019,0,70
24247,PROD_67,SLSMAN_185,11,2019,0,2
11008,PROD_50,SLSMAN_86,10,2019,"42,960","42,124"
10400,PROD_38,SLSMAN_82,12,2019,216,100
22760,PROD_11,SLSMAN_174,12,2019,72,50
10004,PROD_59,SLSMAN_79,12,2019,420,329
19992,PROD_36,SLSMAN_152,11,2019,24,8
5213,PROD_15,SLSMAN_38,10,2019,"3,288","3,159"
26196,PROD_75,SLSMAN_202,12,2019,0,24
24985,PROD_80,SLSMAN_191,12,2019,672,283
434,PROD_62,SLSMAN_3,1,2020,"8,820",0
13051,PROD_37,SLSMAN_100,1,2020,72,0
15328,PROD_58,SLSMAN_114,10,2019,"16,128","15,900"
702,PROD_47,SLSMAN_5,1,2020,"1,008",0
21966,PROD_80,SLSMAN_168,10,2019,888,907
11752,PROD_5,SLSMAN_92,11,2019,320,117
11222,PROD_15,SLSMAN_88,11,2019,"1,788","2,262"
24296,PROD_14,SLSMAN_186,12,2019,"17,748","16,971"
5551,PROD_32,SLSMAN_40,10,2019,48,46
13072,PROD_45,SLSMAN_100,11,2019,240,410
11465,PROD_59,SLSMAN_89,12,2019,"4,158","4,837"
16860,PROD_43,SLSMAN_126,11,2019,0,"2,890"
726,PROD_61,SLSMAN_5,1,2020,"2,562",0
21698,PROD_17,SLSMAN_166,10,2019,"20,052","20,649"
11046,PROD_82,SLSMAN_86,12,2019,0,"16,648"
2361,PROD_13,SLSMAN_16,11,2019,"2,520","3,597"
16641,PROD_21,SLSMAN_125,1,2020,12,0
28297,PROD_60,SLSMAN_225,11,2019,0,120
26719,PROD_13,SLSMAN_209,1,2020,"2,088",0
15476,PROD_56,SLSMAN_115,1,2020,216,0
716,PROD_56,SLSMAN_5,11,2019,252,165
24216,PROD_45,SLSMAN_185,12,2019,480,459
17049,PROD_61,SLSMAN_127,1,2020,"5,376",0
21604,PROD_47,SLSMAN_165,1,2020,840,0
16515,PROD_35,SLSMAN_124,10,2019,"8,736","11,954"
16232,PROD_43,SLSMAN_122,12,2019,0,"5,148"
10271,PROD_43,SLSMAN_81,12,2019,"9,180","7,892"
20752,PROD_82,SLSMAN_159,11,2019,0,926
24969,PROD_59,SLSMAN_191,1,2020,"1,218",0
4900,PROD_61,SLSMAN_35,12,2019,"11,592",985
8768,PROD_27,SLSMAN_64,10,2019,72,78
23933,PROD_76,SLSMAN_183,11,2019,0,0
13326,PROD_22,SLSMAN_102,12,2019,"18,800","16,498"
13505,PROD_27,SLSMAN_103,11,2019,144,176
11559,PROD_39,SLSMAN_90,1,2020,"4,860",0
4996,PROD_42,SLSMAN_36,1,2020,36,0
2290,PROD_47,SLSMAN_15,1,2020,"1,272",0
26401,PROD_13,SLSMAN_206,10,2019,"4,896","5,879"
27549,PROD_32,SLSMAN_214,11,2019,108,143
14615,PROD_19,SLSMAN_110,10,2019,504,520
5453,PROD_51,SLSMAN_39,12,2019,0,"1,889"
7895,PROD_80,SLSMAN_56,1,2020,216,0
26462,PROD_36,SLSMAN_206,1,2020,24,0
23715,PROD_39,SLSMAN_182,1,2020,288,0
15677,PROD_50,SLSMAN_117,12,2019,"28,272","23,723"
20160,PROD_36,SLSMAN_154,10,2019,24,34
7694,PROD_38,SLSMAN_54,12,2019,108,69
5086,PROD_19,SLSMAN_37,1,2020,"85,512",0
4876,PROD_45,SLSMAN_35,10,2019,"1,440",817
10223,PROD_23,SLSMAN_81,10,2019,108,109
23951,PROD_2,SLSMAN_184,11,2019,0,73
11703,PROD_47,SLSMAN_91,1,2020,"1,800",0
12739,PROD_43,SLSMAN_98,11,2019,0,"3,023"
8994,PROD_45,SLSMAN_66,12,2019,"2,256",306
15254,PROD_25,SLSMAN_114,10,2019,360,353
25185,PROD_17,SLSMAN_193,11,2019,"6,948","2,725"
15372,PROD_11,SLSMAN_115,1,2020,180,0
20035,PROD_59,SLSMAN_152,1,2020,"1,260",0
26746,PROD_20,SLSMAN_209,11,2019,48,24
16804,PROD_21,SLSMAN_126,10,2019,120,63
28094,PROD_7,SLSMAN_219,12,2019,0,695
25281,PROD_61,SLSMAN_193,12,2019,"3,780",251
21082,PROD_13,SLSMAN_162,11,2019,540,456
15181,PROD_61,SLSMAN_113,10,2019,"2,730","3,078"
19486,PROD_56,SLSMAN_146,11,2019,468,445
19722,PROD_23,SLSMAN_149,11,2019,0,15
17026,PROD_47,SLSMAN_127,10,2019,"4,800","3,030"
14750,PROD_11,SLSMAN_111,12,2019,36,52
19737,PROD_3,SLSMAN_150,11,2019,80,0
13879,PROD_39,SLSMAN_105,10,2019,504,506
13813,PROD_17,SLSMAN_105,10,2019,"13,428","14,141"
17069,PROD_82,SLSMAN_127,12,2019,0,"5,253"
18462,PROD_80,SLSMAN_138,1,2020,888,0
17582,PROD_14,SLSMAN_131,10,2019,"19,116","20,256"
105,PROD_45,SLSMAN_1,11,2019,240,322
23500,PROD_22,SLSMAN_181,11,2019,"3,600","9,220"
8477,PROD_3,SLSMAN_62,10,2019,360,0
10662,PROD_26,SLSMAN_84,1,2020,12,0
17242,PROD_3,SLSMAN_129,1,2020,40,0
26734,PROD_16,SLSMAN_209,12,2019,"1,368",942
8950,PROD_27,SLSMAN_66,10,2019,36,52
21587,PROD_38,SLSMAN_165,11,2019,288,319
19540,PROD_43,SLSMAN_147,11,2019,0,52
538,PROD_38,SLSMAN_4,1,2020,360,0
22805,PROD_27,SLSMAN_174,1,2020,72,0
22400,PROD_56,SLSMAN_171,1,2020,900,0
27525,PROD_22,SLSMAN_214,1,2020,"9,200",0
24623,PROD_19,SLSMAN_189,12,2019,0,234
15541,PROD_47,SLSMAN_116,12,2019,0,67
5666,PROD_15,SLSMAN_41,12,2019,384,514
10452,PROD_81,SLSMAN_82,10,2019,96,96
2010,PROD_56,SLSMAN_13,12,2019,360,264
25589,PROD_83,SLSMAN_195,12,2019,0,"2,901"
14960,PROD_33,SLSMAN_112,12,2019,"1,368","1,607"
23692,PROD_28,SLSMAN_182,12,2019,6,0
3172,PROD_48,SLSMAN_21,11,2019,168,0
27008,PROD_59,SLSMAN_210,11,2019,462,184
18980,PROD_42,SLSMAN_142,10,2019,72,132
9178,PROD_47,SLSMAN_68,10,2019,"1,248",775
21122,PROD_26,SLSMAN_162,11,2019,36,6
7350,PROD_33,SLSMAN_52,10,2019,"12,672","8,944"
7113,PROD_31,SLSMAN_50,11,2019,400,"1,866"
15525,PROD_26,SLSMAN_116,11,2019,0,12
11962,PROD_27,SLSMAN_93,11,2019,72,42
15004,PROD_52,SLSMAN_112,1,2020,400,0
9341,PROD_39,SLSMAN_70,10,2019,540,538
26070,PROD_3,SLSMAN_200,1,2020,40,0
22505,PROD_28,SLSMAN_172,11,2019,6,4
8658,PROD_81,SLSMAN_62,12,2019,912,"1,151"
893,PROD_59,SLSMAN_6,11,2019,"1,008",847
19623,PROD_32,SLSMAN_148,1,2020,"2,868",0
4937,PROD_15,SLSMAN_36,12,2019,624,652
22128,PROD_2,SLSMAN_170,11,2019,0,22
11861,PROD_50,SLSMAN_92,1,2020,"56,880",0
7510,PROD_31,SLSMAN_53,11,2019,0,476
221,PROD_33,SLSMAN_2,11,2019,108,0
22335,PROD_23,SLSMAN_171,11,2019,144,151
12266,PROD_36,SLSMAN_95,10,2019,24,10
11675,PROD_31,SLSMAN_91,11,2019,"2,800","1,597"
18218,PROD_50,SLSMAN_136,12,2019,"46,416","31,285"
20772,PROD_13,SLSMAN_160,1,2020,216,0
2637,PROD_62,SLSMAN_17,10,2019,"2,982","1,111"
10594,PROD_80,SLSMAN_83,10,2019,792,"1,059"
23066,PROD_83,SLSMAN_176,11,2019,0,"3,364"
17678,PROD_51,SLSMAN_131,1,2020,"1,932",0
16801,PROD_20,SLSMAN_126,11,2019,432,360
24831,PROD_81,SLSMAN_190,12,2019,0,239
2944,PROD_45,SLSMAN_19,12,2019,"2,400","1,094"
13087,PROD_54,SLSMAN_100,11,2019,12,4
5251,PROD_27,SLSMAN_38,12,2019,144,166
18444,PROD_59,SLSMAN_138,1,2020,756,0
11564,PROD_42,SLSMAN_90,10,2019,36,31
4495,PROD_9,SLSMAN_33,10,2019,0,20
12421,PROD_36,SLSMAN_96,10,2019,24,16
20838,PROD_37,SLSMAN_160,12,2019,72,59
22423,PROD_80,SLSMAN_171,10,2019,816,737
